settlement_id,invoice_id,customer,settled_amount,settlement_date,gateway_ref,payment_method
SET1001,INV1001,Acme Corp,15000,2026-08-03,RZP_PAY_1001,netbanking
SET1002,INV1002,Zenith Tech,24500,2026-08-05,RZP_PAY_1002,upi
SET1003,INV1003,Apex Retail,89000,2026-08-07,RZP_PAY_1003,netbanking
SET1004,INV1004,CloudScale Inc,12000,2026-08-06,RZP_PAY_1004,upi
SET1005,INV1005,Nexus Logistics,45000,2026-08-08,RZP_PAY_1005,netbanking
SET1006,INV1006,SolarWave Ltd,67000,2026-08-10,RZP_PAY_1006,upi
SET1007,INV1007,Quantum Health,115000,2026-08-09,RZP_PAY_1007,netbanking
SET1008,INV1008,Vertex Digital,32000,2026-08-11,RZP_PAY_1008,upi
SET1009,INV1009,Global Freight,98000,2026-08-13,RZP_PAY_1009,netbanking
SET1010,INV1010,Innovate Fin,54000,2026-08-12,RZP_PAY_1010,upi
SET1011,INV1011,BlueHorizon Media,18500,2026-08-14,RZP_PAY_1011,netbanking
SET1012,INV1012,Starlight Systems,76000,2026-08-16,RZP_PAY_1012,upi
SET1013,INV1013,Pinnacle Foods,29000,2026-08-15,RZP_PAY_1013,netbanking
SET1014,INV1014,CyberShield Security,142000,2026-08-17,RZP_PAY_1014,upi
SET1015,INV1015,Atlas Mobility,63000,2026-08-19,RZP_PAY_1015,netbanking
SET1016,INV1016,Acme Corp,37500,2026-08-03,RZP_PAY_1016,upi
SET1017,INV1017,Zenith Tech,81000,2026-08-05,RZP_PAY_1017,netbanking
SET1018,INV1018,Apex Retail,19500,2026-08-07,RZP_PAY_1018,upi
SET1019,INV1019,CloudScale Inc,51000,2026-08-06,RZP_PAY_1019,netbanking
SET1020,INV1020,Nexus Logistics,110000,2026-08-08,RZP_PAY_1020,upi
SET1021,INV1021,SolarWave Ltd,22000,2026-08-10,RZP_PAY_1021,netbanking
SET1022,INV1022,Quantum Health,73000,2026-08-09,RZP_PAY_1022,upi
SET1023,INV1023,Vertex Digital,44000,2026-08-11,RZP_PAY_1023,netbanking
SET1024,INV1024,Global Freight,160000,2026-08-13,RZP_PAY_1024,upi
SET1025,INV1025,Innovate Fin,35000,2026-08-12,RZP_PAY_1025,netbanking
SET1026,INV1026,BlueHorizon Media,88000,2026-08-14,RZP_PAY_1026,upi
SET1027,INV1027,Starlight Systems,27000,2026-08-16,RZP_PAY_1027,netbanking
SET1028,INV1028,Pinnacle Foods,94000,2026-08-15,RZP_PAY_1028,upi
SET1029,INV1029,CyberShield Security,49000,2026-08-17,RZP_PAY_1029,netbanking
SET1030,INV1030,Atlas Mobility,125000,2026-08-19,RZP_PAY_1030,upi
SET1031,INV1031,Acme Corp,31000,2026-08-03,RZP_PAY_1031,netbanking
SET1032,INV1032,Zenith Tech,68000,2026-08-05,RZP_PAY_1032,upi
SET1033,INV1033,Apex Retail,17500,2026-08-07,RZP_PAY_1033,netbanking
SET1034,INV1034,CloudScale Inc,105000,2026-08-06,RZP_PAY_1034,upi
SET1035,INV1035,Nexus Logistics,58000,2026-08-08,RZP_PAY_1035,netbanking
SET1036,INV1036,SolarWave Ltd,42000,2026-08-10,RZP_PAY_1036,upi
SET1037,INV1037,Quantum Health,49450.0,2026-08-09,RZP_PAY_1037,credit_card
SET1038,INV1038,Vertex Digital,79000.0,2026-08-10,RZP_PAY_1038,credit_card
SET1039,INV1039,Global Freight,118200.0,2026-08-11,RZP_PAY_1039,credit_card
SET1040,INV1040,Innovate Fin,63862.5,2026-08-12,RZP_PAY_1040,credit_card
SET1041,INV1041,BlueHorizon Media,93100.0,2026-08-13,RZP_PAY_1041,credit_card
SET1042,INV1042,Starlight Systems,136920.0,2026-08-14,RZP_PAY_1042,credit_card
SET1043,INV1043,Pinnacle Foods,73125.0,2026-08-15,RZP_PAY_1043,credit_card
SET1044,INV1044,CyberShield Security,107030.0,2026-08-16,RZP_PAY_1044,credit_card
