invoice_id,customer,invoice_amount,invoice_date,due_date
INV1001,Acme Corp,15000,2026-08-01,2026-08-31
INV1002,Zenith Tech,24500,2026-08-02,2026-09-01
INV1003,Apex Retail,89000,2026-08-03,2026-09-02
INV1004,CloudScale Inc,12000,2026-08-04,2026-09-03
INV1005,Nexus Logistics,45000,2026-08-05,2026-09-04
INV1006,SolarWave Ltd,67000,2026-08-06,2026-09-05
INV1007,Quantum Health,115000,2026-08-07,2026-09-06
INV1008,Vertex Digital,32000,2026-08-08,2026-09-07
INV1009,Global Freight,98000,2026-08-09,2026-09-08
INV1010,Innovate Fin,54000,2026-08-10,2026-09-09
INV1011,BlueHorizon Media,18500,2026-08-11,2026-09-10
INV1012,Starlight Systems,76000,2026-08-12,2026-09-11
INV1013,Pinnacle Foods,29000,2026-08-13,2026-09-12
INV1014,CyberShield Security,142000,2026-08-14,2026-09-13
INV1015,Atlas Mobility,63000,2026-08-15,2026-09-14
INV1016,Acme Corp,37500,2026-08-01,2026-08-31
INV1017,Zenith Tech,81000,2026-08-02,2026-09-01
INV1018,Apex Retail,19500,2026-08-03,2026-09-02
INV1019,CloudScale Inc,51000,2026-08-04,2026-09-03
INV1020,Nexus Logistics,110000,2026-08-05,2026-09-04
INV1021,SolarWave Ltd,22000,2026-08-06,2026-09-05
INV1022,Quantum Health,73000,2026-08-07,2026-09-06
INV1023,Vertex Digital,44000,2026-08-08,2026-09-07
INV1024,Global Freight,160000,2026-08-09,2026-09-08
INV1025,Innovate Fin,35000,2026-08-10,2026-09-09
INV1026,BlueHorizon Media,88000,2026-08-11,2026-09-10
INV1027,Starlight Systems,27000,2026-08-12,2026-09-11
INV1028,Pinnacle Foods,94000,2026-08-13,2026-09-12
INV1029,CyberShield Security,49000,2026-08-14,2026-09-13
INV1030,Atlas Mobility,125000,2026-08-15,2026-09-14
INV1031,Acme Corp,31000,2026-08-01,2026-08-31
INV1032,Zenith Tech,68000,2026-08-02,2026-09-01
INV1033,Apex Retail,17500,2026-08-03,2026-09-02
INV1034,CloudScale Inc,105000,2026-08-04,2026-09-03
INV1035,Nexus Logistics,58000,2026-08-05,2026-09-04
INV1036,SolarWave Ltd,42000,2026-08-06,2026-09-05
INV1037,Quantum Health,50000,2026-08-06,2026-09-05
INV1038,Vertex Digital,80000,2026-08-07,2026-09-06
INV1039,Global Freight,120000,2026-08-08,2026-09-07
INV1040,Innovate Fin,65000,2026-08-09,2026-09-08
INV1041,BlueHorizon Media,95000,2026-08-10,2026-09-09
INV1042,Starlight Systems,140000,2026-08-11,2026-09-10
INV1043,Pinnacle Foods,75000,2026-08-12,2026-09-11
INV1044,CyberShield Security,110000,2026-08-13,2026-09-12
INV1045,Atlas Mobility,85000,2026-08-14,2026-09-13
INV1046,Acme Corp,150000,2026-08-15,2026-09-14
INV1047,Zenith Tech,200000,2026-08-06,2026-09-05
INV1048,Apex Retail,175000,2026-08-07,2026-09-06
INV1049,CloudScale Inc,60000,2026-08-09,2026-09-08
INV1050,Nexus Logistics,130000,2026-08-10,2026-09-09
INV1051,SolarWave Ltd,90000,2026-08-11,2026-09-10
INV1052,Quantum Health,48000,2026-08-03,2026-09-02
INV1053,Vertex Digital,112000,2026-08-04,2026-09-03
INV1054,Global Freight,78000,2026-08-05,2026-09-04
INV1055,Innovate Fin,34000,2026-08-13,2026-09-12
INV1056,BlueHorizon Media,82000,2026-08-14,2026-09-13
INV1057,Starlight Systems,128000,2026-08-15,2026-09-14
INV1058,Pinnacle Foods,56000,2026-08-11,2026-09-10
INV1059,CyberShield Security,92000,2026-08-12,2026-09-11
INV1060,Atlas Mobility,145000,2026-08-13,2026-09-12
