invoice_id,transaction_id,customer,invoice_amount,settlement_amount,status,reason,deduction_percentage,days_to_settle,details
INV1001,SET1001,Acme Corp,15000.0,15000.0,MATCHED,clean_match,0.0,2,Exact amount and timely settlement match.
INV1002,SET1002,Zenith Tech,24500.0,24500.0,MATCHED,clean_match,0.0,3,Exact amount and timely settlement match.
INV1003,SET1003,Apex Retail,89000.0,89000.0,MATCHED,clean_match,0.0,4,Exact amount and timely settlement match.
INV1004,SET1004,CloudScale Inc,12000.0,12000.0,MATCHED,clean_match,0.0,2,Exact amount and timely settlement match.
INV1005,SET1005,Nexus Logistics,45000.0,45000.0,MATCHED,clean_match,0.0,3,Exact amount and timely settlement match.
INV1006,SET1006,SolarWave Ltd,67000.0,67000.0,MATCHED,clean_match,0.0,4,Exact amount and timely settlement match.
INV1007,SET1007,Quantum Health,115000.0,115000.0,MATCHED,clean_match,0.0,2,Exact amount and timely settlement match.
INV1008,SET1008,Vertex Digital,32000.0,32000.0,MATCHED,clean_match,0.0,3,Exact amount and timely settlement match.
INV1009,SET1009,Global Freight,98000.0,98000.0,MATCHED,clean_match,0.0,4,Exact amount and timely settlement match.
INV1010,SET1010,Innovate Fin,54000.0,54000.0,MATCHED,clean_match,0.0,2,Exact amount and timely settlement match.
INV1011,SET1011,BlueHorizon Media,18500.0,18500.0,MATCHED,clean_match,0.0,3,Exact amount and timely settlement match.
INV1012,SET1012,Starlight Systems,76000.0,76000.0,MATCHED,clean_match,0.0,4,Exact amount and timely settlement match.
INV1013,SET1013,Pinnacle Foods,29000.0,29000.0,MATCHED,clean_match,0.0,2,Exact amount and timely settlement match.
INV1014,SET1014,CyberShield Security,142000.0,142000.0,MATCHED,clean_match,0.0,3,Exact amount and timely settlement match.
INV1015,SET1015,Atlas Mobility,63000.0,63000.0,MATCHED,clean_match,0.0,4,Exact amount and timely settlement match.
INV1016,SET1016,Acme Corp,37500.0,37500.0,MATCHED,clean_match,0.0,2,Exact amount and timely settlement match.
INV1017,SET1017,Zenith Tech,81000.0,81000.0,MATCHED,clean_match,0.0,3,Exact amount and timely settlement match.
INV1018,SET1018,Apex Retail,19500.0,19500.0,MATCHED,clean_match,0.0,4,Exact amount and timely settlement match.
INV1019,SET1019,CloudScale Inc,51000.0,51000.0,MATCHED,clean_match,0.0,2,Exact amount and timely settlement match.
INV1020,SET1020,Nexus Logistics,110000.0,110000.0,MATCHED,clean_match,0.0,3,Exact amount and timely settlement match.
INV1021,SET1021,SolarWave Ltd,22000.0,22000.0,MATCHED,clean_match,0.0,4,Exact amount and timely settlement match.
INV1022,SET1022,Quantum Health,73000.0,73000.0,MATCHED,clean_match,0.0,2,Exact amount and timely settlement match.
INV1023,SET1023,Vertex Digital,44000.0,44000.0,MATCHED,clean_match,0.0,3,Exact amount and timely settlement match.
INV1024,SET1024,Global Freight,160000.0,160000.0,MATCHED,clean_match,0.0,4,Exact amount and timely settlement match.
